Provincias;Tipología penal;Sexo;periodo;Total
Total Nacional;3.3.-Corrupción de menores o incapacitados;Masculino;2020;20
Total Nacional;3.3.-Corrupción de menores o incapacitados;Masculino;2019;19
Total Nacional;3.3.-Corrupción de menores o incapacitados;Masculino;2018;23
Total Nacional;3.3.-Corrupción de menores o incapacitados;Femenino;2024;6
Total Nacional;3.3.-Corrupción de menores o incapacitados;Femenino;2023;5
Total Nacional;3.3.-Corrupción de menores o incapacitados;Femenino;2022;9
Total Nacional;3.3.-Corrupción de menores o incapacitados;Femenino;2021;8
Total Nacional;3.3.-Corrupción de menores o incapacitados;Femenino;2020;3
Total Nacional;3.3.-Corrupción de menores o incapacitados;Femenino;2019;2
Total Nacional;3.3.-Corrupción de menores o incapacitados;Femenino;2018;3
Total Nacional;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2024;39
Total Nacional;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2023;36
Total Nacional;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2022;52
Total Nacional;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2021;53
Total Nacional;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2020;23
Total Nacional;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2019;21
Total Nacional;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2018;26
Total Nacional;3.4.-Pornografía de menores;Masculino;2024;90
Total Nacional;3.4.-Pornografía de menores;Masculino;2023;80
Total Nacional;3.4.-Pornografía de menores;Masculino;2022;58
Total Nacional;3.4.-Pornografía de menores;Masculino;2021;73
Total Nacional;3.4.-Pornografía de menores;Masculino;2020;64
Total Nacional;3.4.-Pornografía de menores;Masculino;2019;73
Total Nacional;3.4.-Pornografía de menores;Masculino;2018;71
Total Nacional;3.4.-Pornografía de menores;Femenino;2024;5
Total Nacional;3.4.-Pornografía de menores;Femenino;2023;3
Total Nacional;3.4.-Pornografía de menores;Femenino;2022;4
Total Nacional;3.4.-Pornografía de menores;Femenino;2021;5
Total Nacional;3.4.-Pornografía de menores;Femenino;2020;7
Total Nacional;3.4.-Pornografía de menores;Femenino;2019;5
Total Nacional;3.4.-Pornografía de menores;Femenino;2018;8
Total Nacional;3.4.-Pornografía de menores;Ambos sexos;2024;95
Total Nacional;3.4.-Pornografía de menores;Ambos sexos;2023;83
Total Nacional;3.4.-Pornografía de menores;Ambos sexos;2022;62
Total Nacional;3.4.-Pornografía de menores;Ambos sexos;2021;78
Total Nacional;3.4.-Pornografía de menores;Ambos sexos;2020;71
